trash,Font,Text,num
1885,232.0,"""Open Sans"", sans-serif","Special Bonus Sale Offers Reduced Rates, Additional Savings For Cruises Booked Through April 8 Carnival Cruise Line is making it easier to turn the dream of an Alaska cruise adventure into reality this summer with the largest Alaska deployment in its history as three Carnival ships will make 49 departures to bucket list destinations in…",
1886,233.0,"""Open Sans"", sans-serif","Carnival Cruise Line said today that the one-week period of March 28-April 3 was its busiest booking week in the company’s history, showing a double-digit increase from the previous record seven-day booking total. With 22 of its 23 ships back in guest operations across all its year-round U.S. homeports, Carnival has led the industry in…",
1887,234.0,"""Open Sans"", sans-serif","820 Biscayne to Celebrate the Culture of the Ship’s Homeport and the City Where Carnival Began Sailing 50 Years Ago Carnival Cruise Line is revealing a new Miami-themed zone aboard Carnival Celebration, which will arrive to PortMiami this November. Named after the address of Carnival’s original headquarters, 820 Biscayne will celebrate the culture, architectural styles…",
1888,235.0,"""Open Sans"", sans-serif","Fifty may be a golden year, but instead it is steel that’s making Carnival C ruise Line’s 50th birthday extra special as the first metal was cut today for Carnival Jubilee which will be arriving to Galveston, Tex. in November 2023. The festivities took place in Papenberg, Germany, as Carnival Cruise Line and Meyer Werft…",
1889,236.0,"""Open Sans"", sans-serif","Carnival Cruise Line’s Mardi Gras has earned another distinction as the “Best New Cruise Ship of 2021” – this time from Cruiseline.com’s 2022 Member Choice Awards. Cruiseline.com announced its honors this week, which it says were chosen using data rankings from community-generated reviews of over 4,000 of the website’s members. Mardi Gras received the highest…",
1890,237.0,"""Open Sans"", sans-serif","Adolfo M. Perez has been a champion of cruise travel since he started with Carnival Cruise Line as an embarkation agent at PortMiami in 1982, and now as  senior vice president of Global Sales and Trade Marketing, his significant contributions to the cruise industry are being recognized with the Cruise Lines International Association’s Lifetime Achievement…",
1891,238.0,"""Open Sans"", sans-serif","Many of Carnival Cruise Line’s 50th Birthday merchandise items which have proven popular with sailing guests are now available for purchase online, as well as select other offerings at shop.carnival.com. “When we created the 50th Birthday retail collection, we were confident our guests would love the new and elevated styles, but the positive response has…",
1892,239.0,"""Open Sans"", sans-serif","As part of Carnival Cruise Line’s successful return to guest operations, Carnival Paradise and Carnival Sunrise arrived in Grand Cayman, Cayman Islands today, marking the line’s first time back to the port since resuming service and the first Carnival ships to visit the port since it re-opened. Carnival Glory will be the third Carnival ship…",
1893,240.0,"""Open Sans"", sans-serif","For media inquiries and editorial photo requests, please contact:",
1894,241.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Mint has you covered during coronavirus. Stay up-to-date with the latest financial guidelines and resources here.,
1895,242.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Building habits can be difficult but even one small action a day can add up over time. That’s why we are thrilled to launch Mint Momentum.,
1896,243.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1897,244.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Whether you’re casually browsing or starting a new career, we’ll outline the benefits of knowing the salary ranges prior to applying.",
1898,245.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1899,246.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Let’s talk cryptocurrency. Cryptocurrency, bitcoin, and NFTs have become increasingly popular terms, here’s what they mean.",
1900,247.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1901,248.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1902,249.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","If you’re wondering how to perfectly achieve unique beauty styles, check out these budget-friendly beauty hacks.",
1903,250.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1904,251.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Now that more people are interested in buying electric cars. Let’s look at some of the benefits and when it might make sense for you.,
1905,252.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1906,253.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1907,254.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1908,255.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1909,256.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif",Full Story,
1910,257.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","The views expressed on this blog are those of the bloggers, and not necessarily those of Intuit. Third-party blogger may have received compensation for their time and services. Click here to read full disclosure on third-party bloggers. This blog does not provide legal, financial, accounting or tax advice. The content on this blog is ""as is"" and carries no warranties. Intuit does not warrant or guarantee the accuracy, reliability, and completeness of the content on this blog. After 20 days, comments are closed on posts. Intuit may, but has no obligation to, monitor comments. Comments that include profanity or abusive language will not be posted. Click here to read full Terms of Service.",
1911,258.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","© 2022 Intuit, Inc. All rights reserved.",
1912,259.0,"Avenir, ""Helvetica Neue"", Helvetica, Arial, sans-serif","Terms, conditions, features, availability, pricing, fees, service and support options subject to change without notice.",
1913,260.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Today we’re announcing some upcoming changes to our Terms of Service that will help us continue to preserve the art, expression, history, stories, and memories of all Flickr members for the next hundred years. Keep reading for details.",
1914,261.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif",Food photographer Mica McCook explains how constructive feedback and sharing the behind the scenes details of her photography drives her work.,
1915,262.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Fine art photographer Ting Ting Chen shares the story behind “The Duke,” a portrait of her best friend, Robert, that took home the prize for the People category in Your Best Shot 2021.",
1916,263.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","In February 2022, we made updates to our mobile apps, shipped #MyFlickrYear, and more.",
1917,264.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif",Photographer Grace Peguese goes in depth about the story and inspiration behind her photo submitted to the Black Women Photographers x Flickr x SmugMug 2021 Photography Grant.,
1918,265.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif",Meet the photographers that will be part of this month’s Explore takeover and join us in appreciating them and their work year round.,
1919,266.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","To continue the work of making our spaces safer and more accessible to all, we have added a code of conduct to our most trafficked open source repositories on GitHub in celebration of Safer Internet Day!",
1920,267.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Here’s what the Flickr team worked on in January 2022: updates to faves, a new Flickr Pro Perk, and more.",
1921,268.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Every year, we’re inspired by the amazing photography, stories, and connections that people share and build on Flickr. We know that many of you already have 2022 photography projects and goals underway, but we hope you’ll join us in celebrating all of the ways you contributed to Flickr in 2021 with #MyFlickrYear. It’s back!",
1922,269.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif",Get inspired by these Flickr groups and join the conversation to share your favorites.,
1923,270.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Flickr Pros, try out Picsart, your newest Pro Perk!",
1924,271.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif",Congratulations to grant recipient Naomi St Juste and all finalists and participants.,
1925,272.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","In just over a month, over 13,500 amazing photos were submitted to the Your Best Shot 2021 group. Today, we’re pleased to announce that the winners of Your Best Shot 2021 are…",
1926,273.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Grace Peguese, founder of GPEG Photography, had her start as an architectural and street photographer, but quickly expanded into portrait, food, and product photography. While GPEG Photography was founded around five years ago - Peguese has had an interest in photography for as long as she can remember.  In this interview, she goes in depth about the story and inspiration behind her photo submitted to the Black Women Photographers x Flickr x SmugMug 2021 Grant.",
1927,274.0,"""Proxima Regular"", Helvetica, Arial, ""Lucida Grande"", sans-serif","Welcome to the companion blog for Flickr, the home for all your photos. Flickr is the best site on the web for organizing, sharing and storing your photos. We provide you the tools for easy collaboration with one of the world’s most passionate photo communities.",
1928,275.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","When investing in commercial real estate, the first thing you should consider is the type of investment you want to make. There are many different types to consider, each with pros and cons. Here are 10 common ones to consider: ",
1929,276.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif",,
1930,277.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","People can take care of their bikes, but it can sometimes pay to have a professional bicycle tune-up. Please remember the maintenance myths below before you decide to tune up your bike yourself, so your bike gets the best care. ",
1931,278.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif",,
1932,279.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","It’s impossible to accomplish customer-facing objectives and growth initiatives if you don’t have your internal stakeholders all on the same page. Unfortunately, many organizations lack the internal collaboration and healthy communication needed to succeed in these areas. Could your business use some improvement on this front?",
1933,280.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif",,
1934,281.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","This is the most comprehensive list of web tools for online businesses of all kinds – agencies, shops, companies, blogs, etc.",
1935,282.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","We tried, and we think that we succeed, in putting together all the web tools you might need:",
1936,283.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif",,
1937,284.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif","Investing is not for the weak or squeamish. It requires discipline, a strong stomach, and a willingness to wait things out. And if you want to become more successful as time passes, it’s smart to develop a plan of attack.",
1938,285.0,"NonBreakingSpaceOverride, ""hoefler text"", Garamond, ""times new roman"", serif",,
1939,286.0,"""inter var"", -apple-system, ""system-ui"", ""helvetica neue"", Helvetica, sans-serif",© 2022 9rules Official Blog,
1940,287.0,"""inter var"", -apple-system, ""system-ui"", ""helvetica neue"", Helvetica, sans-serif",Powered by WordPress,
1941,288.0,"brandon-grotesque, Arial, sans-serif","© STEPHEN FRY, 2022
THE OLD FRIARY - PART OF THE SAMFRY GROUP OF COMPANIES",
1942,289.0,"system-ui, sans-serif",blogs.reuters.com’s DNS address could not be found. Diagnosing the problem.,
1943,290.0,"system-ui, sans-serif",,
1944,291.0,"system-ui, sans-serif",,
1945,292.0,"quicksand-regular-webfont, sans-serif",,
1946,293.0,"quicksand-regular-webfont, sans-serif","This website is the central hub of my internet life, so feel free to browse around, find out more about me, and add me to your internet world...",
1947,294.0,"quicksand-regular-webfont, sans-serif",,
1948,295.0,"quicksand-regular-webfont, sans-serif",,
1949,296.0,"quicksand-regular-webfont, sans-serif",,
1950,297.0,"quicksand-regular-webfont, sans-serif",,
1951,298.0,"quicksand-regular-webfont, sans-serif",,
1952,299.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif","These “Desert Today Ocean Tomorrow” and “Ocean Today Desert Tomorrow” prints are inspired by the tranquil view and angled shadows looking from the courtyard of Georgia O’Keeffe’s studio through to the surrounding New Mexico desert. However, I replaced the desert with a flood on the horizon in these prints. There is beauty in the ways people adapt to live in demanding terrain, whether it be in proximity to oceans or deserts. Even though people are remarkably adaptive, the unpredictable impacts of climate change mean that many of those adaptive measures are not suited to protect from unexpected droughts, floods, and temperature swings. We have the means to adapt to the use of more renewable energy sources, which will mitigate climate change and be much less costly and chaotic than adapting to rising sea levels and rising temperatures. Let’s evolve and embrace the adaptive measures that make the most sense rather than burying our heads in the sand. A portion of the proceeds from this print will benefit to support its work to enhance environmental protections and combat climate change.
– Shepard",
1953,300.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1954,301.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1955,302.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1956,303.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1957,304.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1958,305.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1959,306.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1960,307.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1961,308.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1962,309.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1963,310.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1964,311.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1965,312.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1966,313.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1967,314.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1968,315.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1969,316.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1970,317.0,"""Sentinel SSm A"", ""Sentinel SSm B"", Georgia, serif",,
1971,318.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1972,319.0,"Verdana, Tahoma, Georgia, Geneva, Arial","MY DAD AND HOW HE MADE ME LIE TO THE CLERGY

If he was still with us here in the land of the living, today would’ve been my Dad’s 78th Birthday. This photo, taken at the party after Harley’s baptism, perfectly sums up the dynamic of our relationship: we looked at stuff together in silence. Whether it was a George Carlin album as it spun on a record player or CARLIN AT CARNEGIE as it took over the TV in the early days of HBO, the time my Father and I spent together was always about watching stuff. And mostly, that stuff was movies.",
1973,320.0,"Verdana, Tahoma, Georgia, Geneva, Arial","The original Silent Bob himself, my Old Man always took me out of school at noon on Wednesdays to see a $1.50 matinee at the now long-gone Movies at Middletown (“…located on Highway 35 and Palmer Ave,” as the answering machine message with the movie times would remind any caller). In doing this, a Father was subtly teaching his butterball, silly-hearted youngest child that everything in life came secondary to a good movie – including my education and my God.",
1974,321.0,"Verdana, Tahoma, Georgia, Geneva, Arial","The first time the Old Man decided to pull me out of school early to see a flick, my Mom told me to tell the Sisters that I was missing Religion class because a Great Aunt had died and we were rushing to a last minute funeral – not that my Dad wanted to see RAIDERS OF THE LOST ARK for cheap mid-week. The movie rocked, of course – not just because it was Lucas and Spielberg at their best, but also because it was transgressive to be in the cinema at all when I was supposed to be learning about Christ. And my Father was not only not punishing me for lying to a grown-up, he was complicit as well! The next day, I tried to explain to my best friend Ernie O’Donnell two very controversial points I’d learned while studying a mid-afternoon movie instead of the Bible: 1) My Dad was cool, and 2) Indiana Jones was like an American James Bond.",
1975,322.0,"Verdana, Tahoma, Georgia, Geneva, Arial","After we got away with movie matinee hooky, Pop decided that was gonna be our “thing”: every week, he’d sign me out of school early and we’d go to the movies. I was the third of his three kids, disinterested in country music (his passion) and less interested in sports (his pastime). But I LOVED television. I LOVED the movies. And this was the common ground upon which my Dad and I would build the foundation of our relationship: watching entertainment together, generally in silence.",
1976,323.0,"Verdana, Tahoma, Georgia, Geneva, Arial","So the next week, me and the Old Man wanna see SUPERMAN II. Again, my Mom instructs me to tell the Sisters the family is rushing to a funeral for a fallen great aunt. The Principal, Sister Gloria Louise, seems to buy it. I’m a 10 year old Catholic boy in 1981, so I must be telling the truth, right?",
1977,324.0,"Verdana, Tahoma, Georgia, Geneva, Arial","My Old Man was a huge James Bond fan, so for a third consecutive week in a row, Dad wanted to yank his youngest out of class to see FOR YOUR EYES ONLY. We didn’t really talk after the movies, but the old man always had plenty to express after a Bond flick – usually regarding Roger Moore being an okay 007, but Sean Connery being his favorite. And I’d listen with great attention, like it mattered – because it was really something when the Old Man has something to say.",
1978,325.0,"Verdana, Tahoma, Georgia, Geneva, Arial","See, Dad didn’t really ever talk that much. Not that he didn’t have anything on his mind: he was just self conscious as a motherfucker (which he, in fact, literally was). Dad had been born with a hair lip and a cleft palate, so his whole life, he tried to keep his mouth shut so as not to gross everybody out – even his kids. Can you imagine? The Father of the guy who does 69 different podcasts a day was pretty tight-lipped. It’s likely the reason I talk so much: there must be some subconscious desire to say all the stuff my Dad was too trapped inside himself to express.",
1979,326.0,"Verdana, Tahoma, Georgia, Geneva, Arial","So it’s my last week in Fifth Grade and Mom urges Dad to bring me to Bond on the upcoming weekend instead. But the Old Man won’t have it: the weekends are too crowded at the multiplex, and the tickets cost nearly double. Pop doesn’t care if Thursday IS the last day of school: he’s picking me up at noon on Wednesday to see this new Bond flick, and the only thing that’s gonna stop him is a license to kill.",
1980,327.0,"Verdana, Tahoma, Georgia, Geneva, Arial",“What do I tell Sister Gloria Louise?” I asked my Mom.,
1981,328.0,"Verdana, Tahoma, Georgia, Geneva, Arial","And rather than flip the script, my Mother stuck with a classic: “Tell her my great Aunt died.”",
1982,329.0,"Verdana, Tahoma, Georgia, Geneva, Arial","So I put on my Catholic school uniform of green slacks, sweater and tie with a white button-down shirt, walk up Miller Hill to Our Lady of Perpetual Help school, and head to the office to tell them my Dad is picking me up at lunch again. The reason for the early dismissal? My Mom’s Great Aunt has passed away and we need to go be with the family.",
1983,330.0,"Verdana, Tahoma, Georgia, Geneva, Arial","Sister Gloria Louise says “Seems like a lot of Great Aunts are dying in your family this month, Mr. Smith.”",
1984,331.0,"Verdana, Tahoma, Georgia, Geneva, Arial","I say “Yes, Sister. God must be punishing them.”",
1985,332.0,"Verdana, Tahoma, Georgia, Geneva, Arial","“Yes. God DOES punish. Remember that,” she said, heading away from the front desk to her office. And just before she closed her office door, Sister Gloria Louise added “Enjoy your movie…”",
1986,333.0,"Verdana, Tahoma, Georgia, Geneva, Arial","Fires of Hell be damned, I took Sister Gloria’s advice that day and enjoyed the shit out of FOR YOUR EYES ONLY with my Dad. But to be fair, I enjoyed every movie I ever saw with my Father. Some were good, some weren’t as good, but none of them were ever a waste of our time – time we spent together. And as much as I’d always been a movie brat, that month was where my lifelong love affair with cinema began in earnest. Movies were so revered in my family, I was encouraged to lie (a sin!) to my teachers so I could circumvent the system and play hooky at the picture show. With an adult who was supposed to have known better, no less.",
1987,334.0,"Verdana, Tahoma, Georgia, Geneva, Arial","Turns out he DID know better. When I grew up, I made movies for a living. Some were good, some weren’t, but none of them were ever a waste of my time. Because each one is a mini-monument to the man who made me. JERSEY GIRL was the last of my flicks he got to see, and while some may snark that’s what probably killed him, I know better: I was there when he watched the flick the first time. I saw him cry – and it wasn’t because he was thinking “My kid just ruined his career…” The man of few words told me EXACTLY what was on his mind after the movie ended.",
1988,335.0,"Verdana, Tahoma, Georgia, Geneva, Arial","“That was good,” said the man who’d introduced me to the very things that would consume the remainder of my days. “And George Carlin was great.”",
1989,336.0,"Verdana, Tahoma, Georgia, Geneva, Arial","Thanks, Dad. I miss you. I hope you had the time of your life.",
1990,337.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1991,338.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1992,339.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1993,340.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1994,341.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1995,342.0,"Verdana, Tahoma, Georgia, Geneva, Arial",,
1996,343.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",New to OpenID and FAPI? Start here to learn how FAPI is driving global open banking initiatives including valuable developer resources.,
1997,344.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
1998,345.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
1999,346.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2000,347.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2001,348.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2002,349.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2003,350.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2004,351.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2005,352.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2006,353.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",,
2007,354.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","Overview The OpenID Foundation Board has resolve to begin the OpenID Foundation Kim Cameron Scholarship Program in May 2022. Increasing representation from young people’s who’ve demonstrated an interest in subjects consistent with the OpenID Foundation Mission, to lead the global community in creating identity standards that are secure, interoperable, and […]",
2008,355.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",Workshop Overview OpenID Foundation Workshops provide technical insight and influence on current digital identity standards while offering a collaborative platform to openly address current trends and market opportunities. This OpenID Foundation Workshop includes a number of presentations focused on 2022 key initiatives for the Foundation as well as updates on […],
2009,356.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","The OpenID Foundation is pleased to share its new whitepaper, “Open Banking, Open Data and Financial-Grade APIs”. The paper documents the international movement towards Open Banking, Open Finance, and secure, consent driven access to all user data. It describes the OpenID Foundation and in particular the Financial-Grade API (FAPI) Working Group’s […]",
2010,357.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","The OpenID Foundation is pleased to announce the launch of the Global Assured Identity Network (GAIN) Proof of Concept Community Group, which aims to test the technical hypotheses underlying the “GAIN Digital Trust” white paper. Back in September 2021, more than 150 co-authors called for the creation of a globally […]",
2011,358.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",The OpenID Foundation membership has approved the following specifications as OpenID Implementer’s Drafts: Self-Issued OpenID Provider v2 OpenID Connect for Verifiable Presentations An Implementer’s Draft is a stable version of a specification providing intellectual property protections to implementers of the specification. These are the first Implementer’s Drafts of these specifications. […],
2012,359.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",The OpenID Foundation membership has approved the following specification as an OpenID Implementer’s Draft: Initiating User Registration via OpenID Connect An Implementer’s Draft is a stable version of a specification providing intellectual property protections to implementers of the specification. This is the first Implementer’s Draft of this specification. This specification […],
2013,360.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","Thank you to all members who voted in the 2022 elections for representatives to the OpenID Foundation Board of Directors. As per the Foundation’s bylaws, three individual board members represent the membership and the community at large. Nat Sakimura and John Bradley both have one year remaining on their two-year […]",
2014,361.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","The official voting period will be between Tuesday, February 1, 2022 and Tuesday, February 8, 2022, following the 45-day review of the specifications. For the convenience of members, voting will actually open on Tuesday, January 25, 2022 for members who have completed their reviews by then, with the voting period […]",
2015,362.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","The official voting period will be between Tuesday, February 1, 2022 and Tuesday, February 8, 2022, following the 45-day review of the specification. For the convenience of members, voting will actually open on Tuesday, January 25, 2022 for members who have completed their reviews by then, with the voting period […]",
2016,363.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",The OpenID Foundation plays an important role in the interoperability of Internet identity.  This is to announce the OpenID Foundation individual community board member 2022 election schedule. Those elected will help determine the role the Foundation plays in facilitating the development and adoption of open identity standards as well as the […],
2017,364.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",Website Privacy Policy,
2018,365.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif",· © 2022 OpenID · Powered by · Designed with the Customizr theme ·,
2019,366.0,Helvetica,"Privacy Policy | Terms of Service
Accessibility Statement | Affiliate Disclosure",
2020,367.0,Helvetica,"Powered by Laughing Squid Hosting and WordPress VIP
© 1995-2022 Laughing Squid LLC, all rights reserved",
2021,368.0,"aktiv-grotesk, sans-serif",Zack Whittaker,
2022,369.0,"aktiv-grotesk, sans-serif",Taylor Hatmaker,
2023,370.0,"aktiv-grotesk, sans-serif",Brian Heater,
2024,371.0,"aktiv-grotesk, sans-serif",Christine Hall,
2025,372.0,"aktiv-grotesk, sans-serif",Rae Witte,
2026,373.0,"aktiv-grotesk, sans-serif","See all newsletters
(opens in a new window)",
2027,374.0,"""Helvetica Neue"", Helvetica, Arial, sans-serif","© 2022 Yahoo.All rights reserved.Powered by WordPress VIP
(opens in a new window)
.",
2028,375.0,"Inter, X-LocaleSpecific, sans-serif","“But maybe I like this new me.” The trailer for Disney and Pixar’s new film, “Turning Red,” streaming on Disney+ March 11, ends with Mei, its 13-year-old protagonist, considering a wild idea: acceptance. Maybe I like this new me. Yes, in her case the “new me” is becoming a giant red panda when she feels ...",
2029,376.0,"Inter, X-LocaleSpecific, sans-serif",Read More,
2030,377.0,"Inter, X-LocaleSpecific, sans-serif",Get the Virtual Private Network from the makers of Firefox.,
2031,378.0,"Inter, X-LocaleSpecific, sans-serif","Get how-tos, advice and news to make your Firefox experience work best for you.",
2032,379.0,"Inter, X-LocaleSpecific, sans-serif",,
2033,380.0,"Inter, X-LocaleSpecific, sans-serif",,
2034,381.0,"Inter, X-LocaleSpecific, sans-serif","Sign up now
We will only send you Mozilla-related information.",
2035,382.0,"Inter, X-LocaleSpecific, sans-serif",,
2036,383.0,"Inter, X-LocaleSpecific, sans-serif",Follow @Firefox,
2037,384.0,"Inter, X-LocaleSpecific, sans-serif",Follow @Mozilla,
2038,385.0,"Helvetica, Arial, sans-serif","Hey, folks!",
2039,386.0,"Helvetica, Arial, sans-serif","As some of you might know, IntenseDebate is part of a bigger family of services on the web, brought to you by Automattic. We work on many projects on the internet, from supporting bloggers around the world at WordPress.com to supercharging self-hosted websites at Jetpack to fighting spam at Akismet — and much more.",
2040,387.0,"Helvetica, Arial, sans-serif","If you’re interested in getting involved and joining a team dedicated to making the web a better place, consider joining us — we’re currently hiring. Take a look at the available positions, including developers, engineers, designers, and other wranglers. Maybe you will be next to join us — and contribute to awesome projects like IntenseDebate!",
2041,388.0,"Helvetica, Arial, sans-serif","So, don’t be shy — come work with us.",
2042,389.0,"Helvetica, Arial, sans-serif","Posted by Cheri Lucas Rowlands in community,News",
2043,390.0,"Helvetica, Arial, sans-serif","For as long as there have been blogs and discussion forums, there have been trolls. A troll is a commenter who hangs around your site primarily to annoy and aggravate you and your readers. Trolling is different from simply being critical. Not all of your readers will agree with everything you write — in fact, we bet your favorite readers are the ones who swing by for a healthy intellectual debate! But a troll’s comments rarely have anything to do with the topic at hand — they’re there to anger and intimidate others, and derail your discussion.",
2044,391.0,"Helvetica, Arial, sans-serif",(more…),
2045,392.0,"Helvetica, Arial, sans-serif","Posted by Cheri Lucas Rowlands in community,features",
2046,393.0,"Helvetica, Arial, sans-serif","We’ve recently launched updates that may affect the way you log in to IntenseDebate. We’ve now switched over to using WordPress.com Connect for IntenseDebate, which allows you to securely use your WordPress.com credentials to log into IntenseDebate.com and IntenseDebate-powered commenting areas.",
2047,394.0,"Helvetica, Arial, sans-serif","If you previously used a WordPress.com account to log in to IntenseDebate, you’ll now do this using WordPress.com Connect. Once you’ve connected your account once, you should be all set. If you used an original IntenseDebate account to log in, you can continue to do so using those details.",
2048,395.0,"Helvetica, Arial, sans-serif",,
2049,396.0,"Helvetica, Arial, sans-serif","When prompted, authorize IntenseDebate to access your WordPress.com account:",
2050,397.0,"Helvetica, Arial, sans-serif",,
2051,398.0,"Helvetica, Arial, sans-serif","The benefit of switching to WordPress.com Connect is that it means your account information is managed in one, super-secure place (WordPress.com) and ultimately streamlines your online experience — for example, you can use this same account to log into other products, including VaultPress, Akismet, Polldaddy, and Gravatar. It also means you can take advantage of additional security features on WordPress.com, like the recently-launched Two Step Authentication.",
